,release box in DEG,,,,release,,,,,,,,,,,simulation,,,,,,,,,,
run name,lon lower left,lat lower left,lon upper right,lat upper right,start year,start month,start day,start hour,start minute,end year,end month,end day,end hour,end minute,number of particles (NUM PERMIN),start year,start month,start day,start hour,start minute,end year,end month,end day,end hour,end minute,direction
H1,25.66,35.33,25.67,35.34,2012,3,12,18,0,2012,3,12,18,0,35700,2012,3,12,18,0,2012,3,12,18,0,-1
