#run name,lat,lon,height,start year,start month,start day,end year,end month,end day,hours,run time
El_Monte,-33.673889,-71.006667,100,2013,6,6,2013,6,17,06 08 12 16,240
San_Ramon,-33.532711,-70.638492,100,2013,7,1,2013,12,20,12 16,-120
